A                PRECIPITACION (MM)
A                CUENCA: SONDOR (Formato para extender datos)
A
B       1988            1            1       27           0           0            1           0           0           0
C
H1041993    4960  13200  25370  11650    7290    6340    1880  1480    3980  13080    6680  19080
H1041994  15460  14000  17870  16960  12490    6890    3779    980    5409    6850    7159  12260
H1041995    7459    4380  12030    6600    9090    2750    4000  1330    2220    4060  23710  17300
H1041996  13360  10990  14229  15410  10620    3660    1200  3729    4770  13439    6750    5700
H1041997  10690  19730    3960  18370    6040    2400    2860  2980    3729    5260  14290  11140
H1041998    9530  11210  20200  25350  11500    6120    3710  1320    3920  15240  12050    5840
H1041999  14960  29260  11660  15750  17200  12680    4320  2040    8820    6930    5920  20310
H1042000    3240  13629  28339  19170  18660    6940    3890  3129    7680    1850    2060  11960
H1042001  20170    7609  13330  11710    7120    1420    6280  2410    6280    6809  18580  11750
H1042002    5680  10570    9880  18120  11950    2870    9240    740    3910  12540  14679  10560
H1042003  11960  10850  14660  17550  14040  12110    3710  1130    3060  14869  10360  11200
H1042004    9300    3510  13560  15780  10510    6380    5730  2170    6920  15810  11130  14080
H1042005  12110  20639  27839  14179  10420    7509      839  1170    4029  12840  11640  20210
H1042006  15330  17200  25060  13050    5580  11030    2510  1410    1330  11850  17270  11250
H1042007  14950    4720  19040  16250  12050    9070    5230  5600    2230  15580  30330    9040
H1042008  12150  30330  16300  16740    6390    6490    7430  4400    4970  16450  23489    4760
H1042009  29350  13540  20990  17180  10900    7020    7480  2910    4420    6900  10070  13110
H1042010    6180  24860  14119  20200    8380    5430    2110  2370    3810    8159           0    9920
H1042011  10910  18020  14490  21530    7070    4120    4160  1820  16610    8690  14390  26910
H1042012  30550  18020  20220  22390    9290    4850    4050  3850    1520  24550  13240  15130
H1042013    9940    9590  12869    5090  23850    5530    9190  6370    4370  10180    3610  11430
H1042014  10350    9930           0           0  20270    9430    3740        -1          -1          -1          -1          -1
H1051963          -1          -1          -1          -1          -1          -1        -1        -1    740           0           0           0
H1051964           0           0      360    1520           0           0    200         0         0          30      290      200
H1051965    1500    1900    1770    3500    2100    1000        40        40    610    5300    5700    2600
H1051966      229      180      509      270      910           0         0         0  1220    4850    3850      900
H1051967    5900  10500    5550      650    1200      250  1650    750    400    4850    1750    1700
H1051968      250    2450    3600    2300      350           0    350         1  3900           0           0           0
H1051969           0           0           0           0           0           0         0         0  1807           0    5461  10657
H1051970    6059    8056    2311    1703    6005    1002         0         0  1100    4904  11900    3501
H1051971    8202    9304  18608    7405    7402      803         0         1         1    4704           0    1802
H1051972      800    9102  15106    8201           0           0    500    301    880    7290  15410    5080
H1051973      801           0    8151    7203    3092  14981         0    241  4891      641    3829    1302
H1051974    4143  17834    5802           0           0    5783         0  3001  7102  23607           0          85
H1051975    2360  19136  20866    9050          83      100        93    844  1240    7640           0           0
H1051976      234    1183    2965  11402    7002      182         0         0         0    2500           0      900
H1051977    5000    3700    4300    7900           0           0        13         4         3           0          14           0
H1051978          11           9  15709    3818      991      172         4         0         2           5           0    2508
H1051979    6915           5    5989          14           2      293         3    504  2032           7      317           3
H1051980      501           0           6           3           3           6         4         1    795    3513    2566      915
H1051981    1669    2095    2353      400      408           5    347    150         2    4366           8           8
H1051982    4780           0           7  10198           0           0         0         0         0    3615    7270  12149
H1051983  19101  25035  15476  37342  18341           0         0         0         0           0           0           0
H1051984      160  15050    7950    9100    4040    2570  1460  3000  1660           3           4           0
H1051985           5           0           0           0           0           0         0         0         0  15015  20405  11908
H1051986  36206  24905  24504  30402          11           3        14         6  2103  16507  21711  10810
H1051987  21006    4512  12412    2618  25009           6         0         0         4    5306           5           7
H1051988    9610  18811  13209  20008          11           0  3012         0         0           9           3           0
H1051989  10125  12712  20408  28705          12    7009  2614        12         7           6    2204           0
H1051990          16    5319    6015    1112           0           0         0         0         0           0  31309           1
H1051991    3411  14111  10012  12811    3213          10         0         0         0           0           0           0
H1051992  18666    3963  11132    2038  21729           7         0         0         0  10450    3270    2400
H1051993    3969  11400  11260  11510    1709      680    409    420  2579    6370    5050  14710
H1051994    4920    7209  13600  13100    3060    1190        50    170  4490      660    5740    4350
H1051995    1470    2960    5020    3870    1080          50  1600    100    440    2350  10410  11360
H1051996    2380    4970  10120    7590    1350    1620         0    140  1310    6070    5020    2230
H1051997    4029    6600      869    4470      919    1130    420    140    290    2370    3670      800
H1051998    3500    6920  17530  14569    4450    1370         0  1010  7000    8910    4880    3590
H1051999    8600  14850    7720    5630    8210    3060    690        80  7480    2990    4029    8890
H1052000    4810  14380    6530  12530    5660    4320    380    790  6030      360    1939    7980
H1052001  12100    6909  13930    2560    6620      390  1100         0  4940    8680    7159    5570
H1052002    3300    4040    2920    8550    2460      510  2350         0    250    9980    7059    4730
H1052003    1890    5760    8710    3329    2910    2440    300    250  1220    7720    5490    4730
H1052004    2470    2710    1390  13780    4830      400  1120         0  4820    9610    9110  10970
H1052005      990  11250  17120    3250    1430      680        10  1100  1870    5020    1710    9930
H1052006  13810  12580  21000  10150    1439    1780  2640    210    360    5060    4830    2120
H1052007    6840    2730  12460    9280    6160      111    972  1251    769  15960  23380    3991
H1052008    6781  16231  12022    7452    2792    2980    491  1912  1013  14073    9141    3729
H1052009  14490    7931  14460    9531      773      891    644    969    622    7330    4420    3440
H1052010    1222  13124  11462    4834    1632      413        32    311  1261    6190    2341    8582
H1052011    3970    7844    7091  14522    5001      231    421    100  2192  10080    5490  11500
H1052012    9281    9922  11371  10340    1340      383    220    101    260  11660    8620    6689
H1052013    5062    3431    9730    2060  13490      300    240  1840    550    8520    2910    8460
H1052014           0           0           0    4780  11110      990        -1        -1        -1          -1          -1          -1
H1061964          -1          -1          -1          -1          -1          -1          -1          -1    4000           0    9100    4000
H1061965    1500    3500    6800    9000    4900    1600    1900    2100    9800    4700  12300    4100
H1061966    4400  14500  13700    3800    6300      800      700    3100    6100  12700    4800    4200
H1061967  21600    9200  18800    3200    6700    3700    3600    4750    4900  14100    6850    5700
H1061968  10100    3250    7550    3900    1850           0    3300    5050    6800  11900    3500    1400
H1061969    5150  11850  16300  12150    2900    5200      900    3450    3900    5000    9950  10250
H1061970  12750    8650    8900    6400    7800    5100    3250    3600    5350  10400    7350    7650
H1061971    4600  11250  34850    6600    6000    7000  10400    3850    5250    5700    5550  29050
H1061972  21900    7100  39500  25800    2850    2350    5950    5300    6750    1200  33250  10950
H1061973  22450  18470  24020  21150    5930    3400  12150    3500  12950  12600  11050  10750
H1061974  29500  32050    3700    9450    4400  12300    1250  17800  26800  37600  20750  23950
H1061975  39350  26550  47300  30700  19700    8800    2250  23800  18000  44000  12000    1950
H1061976  28350  23650  32050  10500    5300    2450    3400    2650    2450    1250    1250  26550
H1061977  11950  25700  88650  30750    4450  31300    5000      600    6500    2300  17300  19750
H1061978  14150    5650  26489    6030  11230    1980    3060      250    7490  12750    6640  15260
H1061979    3130  12769  24290    3500    3910      330      550    6850    2930      770      869    2680
H1061980    5260           0  27789    9900    3750      200      190    5600           0           0           0           0
H1061981    1280  15960  10890    9540    3600    2110    1270      550      310    8090    4010    4029
H1061982    4650    6920    4480    9710    6980      459      440      790    5130    8850    6690    9090
H1061983  12850  19320  19890  11200    2520    7300    4170    2750    4310  11270    9560    2520
H1061984    3929  14680  17750  12640    4250    1860    4870    4880    9690  14510    5740    7780
H1061985      150    1889    3740    5920    3929    2039           0    9270    8780  11950    1400  16260
H1061986  28050  13150    4880  14710    2990      370    1580    3990    1140    5110    3800    9470
H1061987    8540  10580  11140    6470    2540    4630    1730    4540    3929    1500    3979    2500
H1061988    6750    6759  11270  11880    2590      509    1800    3229    8130    4840    5720    9740
H1061989  10960  12250  12900    9500    4400    3450      520          70    9420    8159      520      120
H1061990    6160    6280    9590    9130    3450    3969    2650      250      670  10570    8900    5450
H1061991    2890    8880    6430    5970    2010    1100      430      150    1300    4640      170    9570
H1061992    5840    4200    5190  12470          50      150      390      620    5420    4280    3550    6870
H1061993    2690  13130  18930  12869    4650      710    1150      980    5180  13050    2500  10890
H1061994    6990    8350  15610    8520    4600    1660      390      150    4140    1730    5030    4910
H1061995    6320    7180  12090    5090    5730      310    3050    1770      700    2290  10620  16040
H1061996    2120  13860  13440    6420    3080    3010           0    2580    2100    9080    2060    1760
H1061997    3759  11830    5490    8109    1090      710          90      340    1070    1610    6800    8690
H1061998    4530  14960  23130  17200    8350    3340           0    1180    6400    9790    4500    3540
H1061999  10990  19630  13350  12860    7850    4370    2440           0    6500    4230    3969    8210
H1062000    4220  14769  15040  13469    6260    4980    1289    1370    7330    2050    2140    8470
H1062001  11210    7090  14490    4380    3710      640    1570      180    6150    4800  11370    7940
H1062002    4970  14319    9800  17580    4540    1260    2170           0      520  10200    9010    5330
H1062003    8000  11630    9210    2970    6370    3840      840      420    2090    3529    5810    7330
H1062004    5680    2210    5090    5470    5430    1330    2160      170    4100    9060    4680    8700
H1062005    1510  12560  13119    2030    1100    1120      240      330      570  12380    1980  10520
H1062006    7350  15910  25809    6480      940    3410    3279           0    1350    4640    4890    4510
H1062007    7230    4470  16370  12290    4530           0           0           0      340  16000  13660    6110
H1062008    7059  23820  16940  17280    6190    3110    2420    2340    3550  15500    6150    1430
H1062009  14480    8350  22400    5310    2850      700    1000    1590    1939    3790    5500    5270
H1062010    3319  21220  12419  13830    2780    2530      940    1300    9510    6590    5310    9380
H1062011    7150    9530    4840  19920    7059      470    1570      700    8430    8340    5160  13840
H1062012  21150  16970  20990  10469    3529    1000           0    1420    1270  10520  10100    6060
H1062013  11660  13080  16490    5400  14479      590    2480    1120      560  16430           0    8340
H1062014           0           0           0    5320  11990    3510          -1          -1          -1          -1          -1          -1
H1071963          -1          -1          -1          -1          -1          -1          -1        -1          -1          -1    6990    7600
H1071964    9850  13900  24950  18800  10850           0           0         0           0           0           0           0
H1071965    5350    7300  12050  11850    6830    4730    9350  4040    8500    7800  19200  11100
H1071966    6150  11020    8500    7950    9711    1110    2354  1360  11072  17651    4060    4780
H1071967  14569  10600  14831    1880    5180    1300    6870         0    3000  12100    2280    7550
H1071968    3357    2256    3801    5150    2506    1002    2057  6003  12533  12263    2680    2454
H1071969  10382  10310  11000  15213    7102    7701    2452  4402    2551    7551    6701    5520
H1071970    5100    5850    7550    6052  11950    4201    6852  2702    3853  10954    7502    7752
H1071971  11011  10173  30500    9752  11561  10901    6652  6353    8100  18804    5700  10250
H1071972    7802  11752  36205  15650    7303    7052  10901  6653  10903    8152  12252    8601
H1071973  13201  12551  11902  20051    8201  10700    8202  8404  14351    6303  13201    7601
H1071974    8351    7450    8750    4452    4703  10902    6552  6101    6254    8453    5204    7701
H1071975    6953    7102    6851    5405    7803    5503    3901  7153    7653    5803    6754    2002
H1071976    2907    5564    8602    5753  13455    5254    1151  5503    8802    6703    3603    4952
H1071977    7653  17802  15252    3553  13855    4553    7504  3452    7253    3751    4905    1053
H1071978    6701    2601  21103    7202    4652    6853    7704  1802    7000    2452  11250    7203
H1071979    6752    4751  12103    7100    4702    2053    2703  6801    3604      800    5250    3401
H1071980    4354    7403  14101    3401    3204    3801    2702  1552    2503  13051    5754    6000
H1071981    5204    9303    7054    7854    8153    7806    5500  5003    6303    3904    3301    5552
H1071982    5352    4157    6804    3752    3201    3951    3853  2553    3501    3252    2401    2705
H1071983    4702    4404    4404    6202    4702    1501    4550  4050    2802    4004    2955    3706
H1071984    5654    6501    6201    5702    2003    3751    3404  3803    3804    3751    3401    2454
H1071985    2403    3102    1603    1204    2606    3352    2101  2101    2251    1302      902    2753
H1071986    1652    3253    5952    2806    1953      204    2703  2754    2803    2351    1755    2002
H1071987    3102    2303    2002    2754    2205    2102    2854    952    1351      952    1051    1803
H1071988    1854    3401    2452    1252      252      404      801  1552    2002      501    4300    3601
H1071989    2852    1900    2354    2653    1703    1650    1802  2052    1955    1054    1602    2451
H1071990    4001    1750    1904    2353    2352    2554    1907  2453    2454    3801    1554    2401
H1071991    2203    3203    2552    2901    3054    1151    1152    552    2254      703    1002    1201
H1071992      952    2502    3203    2803    2054    1903    1353  1253    1952    2203    1102    1504
H1071993    2751  10651  10854    6652    3303    2355    1900  4253    2703  11950    6151    6651
H1071994    8152  15751  18003  13301  10000    4050    3100  1700    5900    4200    5050    8003
H1071995    8050    2600    8101    4751    4252    4350    3400  1000    2402    5201    9100  22800
H1071996    2870  13000  16901    8900    7800    5150    1301  3600    2500  12100    8550    5000
H1071997    7200  16850    1750  10900    6000    2752           0  2901    2200    5850    4700    7400
H1071998    7900  10600  29551  29900    9800    5053      902    752    3750  10350    5700    2800
H1071999  12351  33530    7531  11520    5130    9390    9520  1750    6850    7659    2880    7470
H1072000    6740  12340  10900  15080    9130    8690    1589  5890  13610    4060    3110  15890
H1072001  14510  10340  13300  10219  10200    1610    7859  1939  10560    7230    9110  13030
H1072002    5460  12950  10710  16470    5960    5350    7959    440    2800  12850  11010    7800
